2020-04-19/00:02:22		User Says: pankaj@mail.com
2020-04-19/00:02:26		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:04:21		User Says: pankaj@mail.com
2020-04-19/00:04:24		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:05:30		User Says: pankaj@mail.com
2020-04-19/00:05:34		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:07:41		User Says: pankaj@mail.com
2020-04-19/00:07:44		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:22:44		User Says: pankaj@psychx86.com
2020-04-19/00:22:48		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:27:13		User Says: pankaj@psychx86.com
2020-04-19/00:27:16		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:28:03		User Says: pankaj@psychx86.com
2020-04-19/00:28:07		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:29:06		User Says: pankaj@psychx86.com
2020-04-19/00:29:09		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:32:27		User Says: pankaj@psychx86.com
2020-04-19/00:32:31		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:33:06		User Says: pankaj@psychx86.com
2020-04-19/00:33:13		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:37:30		User Says: pankaj@psychx86.com
2020-04-19/00:37:37		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:39:24		User Says: pankaj@psychx86.com
2020-04-19/00:39:31		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:41:20		User Says: pankaj@psychx86.com
2020-04-19/00:41:27		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:45:14		User Says: pankaj@psychx86.com
2020-04-19/00:45:20		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:46:20		User Says: pankaj@psychx86.com
2020-04-19/00:46:27		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:47:40		User Says: pankaj@psychx86.com
2020-04-19/00:47:46		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:48:22		User Says: pankaj@psychx86.com
2020-04-19/00:48:28		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:49:12		User Says: pankaj@psychx86.com
2020-04-19/00:49:22		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-19/00:51:23		User Says: pankaj@psychx86.com
2020-04-19/00:51:33		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
